 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2022
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"110145 PARECIS";-;-;-;-;1;1;3;1;3;2;-;-;-;-;3;-;-;2;1;-;-;2;2;-;1;-;-;22
"110146 PIMENTEIRAS DO OESTE";-;-;2;1;-;2;-;1;-;1;-;1;1;1;2;2;1;-;1;-;1;-;2;-;-;1;-;20
"110147 PRIMAVERA DE RONDONIA";-;-;-;-;-;2;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;2;1;2;-;-;2;13
"110148 SAO FELIPE D'OESTE";-;4;2;1;2;-;1;3;-;1;-;3;1;-;-;-;-;1;1;1;-;1;-;2;-;-;-;24
"110149 SAO FRANCISCO DO GUAPORE";-;4;1;9;4;10;7;9;4;13;3;3;10;5;3;-;-;2;5;1;4;4;7;4;4;-;7;123
"110150 SERINGUEIRAS";2;4;4;4;4;3;2;4;6;4;4;1;2;4;1;8;3;2;4;4;1;2;1;2;2;2;2;82
"110155 TEIXEIROPOLIS";-;1;1;2;-;5;-;3;-;-;-;2;1;-;1;1;-;-;1;1;-;1;1;3;1;-;-;25
"110160 THEOBROMA";-;3;2;3;1;3;1;3;4;1;3;1;-;1;1;2;4;-;2;2;-;3;1;-;2;1;1;45
"110170 URUPA";6;5;4;1;5;6;2;4;4;1;2;2;-;2;3;6;4;2;2;4;-;1;1;3;2;4;2;78
"110175 VALE DO ANARI";-;3;3;1;1;3;2;3;5;4;2;1;1;2;-;1;1;-;-;3;3;-;-;1;2;3;2;47
"110180 VALE DO PARAISO";3;-;-;1;1;3;1;-;-;2;1;1;2;-;1;1;-;-;1;1;3;-;-;2;1;1;3;29
" MUNICIPIO IGNORADO - AC";-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;1;-;7
"120001 ACRELANDIA";5;3;1;1;6;7;5;1;3;6;5;3;9;5;6;4;4;3;5;2;-;3;2;-;3;1;3;96
"120005 ASSIS BRASIL";-;1;2;-;1;-;-;2;3;3;4;5;1;5;3;3;4;2;4;7;8;2;4;5;3;4;6;82
"120010 BRASILEIA";6;15;7;-;4;4;7;9;6;8;8;5;14;5;6;8;10;14;8;14;14;10;8;9;4;12;16;231
"120013 BUJARI";1;-;-;2;1;2;-;1;3;1;2;2;2;1;4;4;3;1;1;2;1;2;1;4;3;3;2;49
"120017 CAPIXABA";-;-;-;-;2;-;1;5;4;5;4;1;5;2;2;5;5;1;6;2;5;4;4;-;1;3;2;69
"120020 CRUZEIRO DO SUL";59;69;85;44;60;48;51;40;27;42;50;39;37;28;25;26;26;29;22;20;16;19;28;31;18;26;23;988
"120025 EPITACIOLANDIA";2;8;2;3;8;7;10;4;5;6;7;8;3;8;7;4;9;3;2;2;6;3;7;4;5;5;2;140
"120030 FEIJO";23;24;32;13;48;19;27;17;34;23;18;24;26;19;16;16;17;30;19;26;19;13;31;31;25;25;18;633
