 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2022
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"220865 QUEIMADA NOVA";-;-;-;2;6;10;12;5;3;5;4;4;2;4;2;2;2;-;3;1;3;1;1;3;3;2;1;81
"220870 REDENCAO DO GURGUEIA";-;-;1;1;3;11;12;8;4;4;4;9;4;2;2;2;1;2;1;1;1;1;3;3;1;1;2;84
"220880 REGENERACAO";2;1;7;4;7;7;10;10;6;7;5;9;4;4;1;7;2;6;-;2;3;1;4;5;2;6;-;122
"220885 RIACHO FRIO";-;-;-;-;-;2;4;3;1;1;1;1;3;1;3;1;2;1;1;1;2;-;-;1;-;2;-;31
"220887 RIBEIRA DO PIAUI";-;-;-;1;1;5;1;-;-;1;1;-;1;1;-;1;-;-;-;-;1;1;4;1;2;1;-;23
"220890 RIBEIRO GONCALVES";-;-;-;6;3;5;5;3;2;1;2;5;2;1;1;3;2;1;1;-;2;3;-;1;-;2;2;53
"220900 RIO GRANDE DO PIAUI";3;-;-;-;9;2;2;1;1;1;2;1;2;1;1;1;-;1;2;-;-;-;-;1;-;-;4;35
"220910 SANTA CRUZ DO PIAUI";-;1;-;1;4;6;2;3;3;1;-;3;-;1;2;-;-;2;3;-;1;-;-;-;-;2;2;37
"220915 SANTA CRUZ DOS MILAGRES";-;-;-;1;2;-;1;3;-;-;1;2;-;-;1;-;-;2;1;-;3;2;1;1;-;-;-;21
"220920 SANTA FILOMENA";1;-;-;-;-;3;2;2;2;6;2;1;1;1;4;2;-;-;1;2;2;3;1;1;1;-;-;38
"220930 SANTA LUZ";-;-;-;-;6;4;5;1;4;5;1;1;3;3;5;-;3;-;2;-;-;-;3;-;1;1;2;50
"220935 SANTANA DO PIAUI";-;-;-;-;1;2;4;2;2;3;3;-;1;-;2;1;1;-;-;-;2;3;-;1;-;-;1;29
"220937 SANTA ROSA DO PIAUI";-;-;-;-;3;-;3;3;1;5;1;6;2;5;1;1;1;1;3;-;-;2;1;3;-;3;1;46
"220940 SANTO ANTONIO DE LISBOA";-;-;-;2;1;2;4;2;2;4;-;1;1;1;1;3;4;4;1;-;-;2;2;-;1;2;1;41
"220945 SANTO ANTONIO DOS MILAGRES";-;-;-;-;3;-;1;3;1;-;1;-;1;1;1;1;-;-;-;1;-;-;-;1;1;-;1;17
"220950 SANTO INACIO DO PIAUI";-;-;-;1;1;-;1;-;-;1;1;3;1;2;-;3;-;-;-;-;-;-;1;1;-;1;1;18
"220955 SAO BRAZ DO PIAUI";-;-;-;-;1;-;1;-;2;1;4;1;2;1;1;2;-;-;-;-;1;1;-;-;1;1;-;20
"220960 SAO FELIX DO PIAUI";-;-;1;-;-;-;-;1;1;-;-;1;-;2;1;-;-;-;1;1;-;-;-;-;-;-;1;10
"220965 SAO FRANCISCO DE ASSIS DO PIAUI";-;-;1;3;4;2;6;3;4;4;3;2;3;4;1;3;3;3;-;2;2;3;1;4;-;1;2;64
"220970 SAO FRANCISCO DO PIAUI";1;-;-;-;1;2;4;1;6;3;2;-;-;-;1;2;1;2;-;2;-;2;1;1;1;-;1;34
"220975 SAO GONCALO DO GURGUEIA";-;-;-;2;-;1;4;2;3;-;1;-;1;-;-;-;1;1;1;1;1;1;-;1;-;1;3;25
"220980 SAO GONCALO DO PIAUI";1;-;1;-;1;-;4;3;-;-;2;1;1;2;-;1;3;3;1;-;-;1;2;1;1;-;1;30
"220985 SAO JOAO DA CANABRAVA";-;-;-;-;5;1;3;2;3;5;3;2;2;-;2;1;1;-;1;-;1;-;-;-;-;2;-;34
"220987 SAO JOAO DA FRONTEIRA";-;1;-;-;-;3;3;4;2;5;1;2;-;2;1;-;1;-;1;1;3;1;1;-;1;2;-;35
"220990 SAO JOAO DA SERRA";-;-;-;1;-;-;5;3;3;5;8;-;3;2;1;2;2;-;3;1;-;-;1;1;1;2;-;44
"220995 SAO JOAO DA VARJOTA";-;-;1;1;-;2;1;-;2;2;-;1;-;4;1;1;1;1;-;1;-;2;-;-;3;-;-;24
"220997 SAO JOAO DO ARRAIAL";-;-;1;4;4;8;-;5;2;2;5;1;4;2;2;-;2;5;2;1;2;1;3;2;4;3;4;69
"221000 SAO JOAO DO PIAUI";3;6;4;16;10;16;8;9;13;10;11;3;9;9;5;4;3;5;4;2;4;5;6;2;6;5;6;184
"221005 SAO JOSE DO DIVINO";-;-;-;-;-;2;1;1;1;1;1;3;-;3;-;-;2;3;-;2;-;1;1;2;-;2;-;26
"221010 SAO JOSE DO PEIXE";-;-;-;-;1;1;1;2;1;-;1;-;-;-;1;2;-;-;-;-;-;-;-;-;2;1;-;13
"221020 SAO JOSE DO PIAUI";-;-;1;8;7;8;6;6;2;3;4;3;2;2;4;-;-;-;3;1;4;1;1;1;-;1;3;71
"221030 SAO JULIAO";-;-;-;-;4;3;-;3;1;2;2;-;1;1;-;2;-;1;-;2;2;1;1;-;-;2;-;28
"221035 SAO LOURENCO DO PIAUI";-;-;-;-;-;1;-;-;-;2;2;2;3;-;-;1;-;1;1;1;2;1;-;1;-;-;2;20
"221037 SAO LUIS DO PIAUI";-;-;-;-;1;4;1;1;1;-;-;2;1;-;-;2;-;1;-;1;-;-;-;-;1;1;3;20
"221038 SAO MIGUEL DA BAIXA GRANDE";-;-;1;-;-;-;1;-;-;1;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"221039 SAO MIGUEL DO FIDALGO";-;-;-;-;4;2;2;1;-;-;-;1;-;1;2;-;-;-;-;1;3;-;3;-;-;-;-;20
"221040 SAO MIGUEL DO TAPUIO";7;1;-;2;-;1;4;9;5;8;11;5;7;5;2;4;4;3;-;9;2;3;3;2;4;3;2;106
"221050 SAO PEDRO DO PIAUI";3;1;3;3;5;6;-;10;-;5;6;3;6;4;4;5;1;7;2;5;3;6;2;5;1;5;1;102
"221060 SAO RAIMUNDO NONATO";1;-;1;1;9;4;11;3;12;9;14;12;14;17;12;6;6;16;13;4;7;11;16;6;9;7;8;229
"221062 SEBASTIAO BARROS";-;-;-;-;2;-;-;3;2;1;1;4;1;-;2;1;-;-;3;-;1;1;2;-;-;-;-;24
"221063 SEBASTIAO LEAL";-;-;-;-;-;3;1;-;2;3;1;-;-;3;1;1;-;-;1;-;-;-;-;-;-;-;-;16
"221065 SIGEFREDO PACHECO";-;-;-;-;1;3;1;3;3;3;1;1;1;2;1;2;2;1;1;2;2;1;1;1;-;-;2;35
"221070 SIMOES";-;-;-;-;1;5;9;5;8;11;9;6;9;6;3;4;4;4;7;3;7;3;1;-;2;3;4;114
"221080 SIMPLICIO MENDES";-;-;-;2;2;3;4;8;3;3;1;5;7;2;1;3;1;-;1;6;2;2;5;3;5;6;-;75
"221090 SOCORRO DO PIAUI";-;1;5;2;4;2;2;1;2;1;2;3;1;1;1;3;2;-;-;-;-;-;-;-;-;-;1;34
"221093 SUSSUAPARA";-;-;-;-;1;1;2;1;2;-;-;3;3;2;2;-;2;2;1;1;1;1;-;2;2;1;1;31
"221095 TAMBORIL DO PIAUI";-;-;-;-;3;3;-;2;-;-;2;1;-;1;2;1;-;1;-;-;1;-;-;1;1;1;-;20
"221097 TANQUE DO PIAUI";-;-;-;-;1;-;-;1;2;2;1;1;1;-;1;-;-;-;-;1;-;2;-;-;-;-;1;14
"221100 TERESINA";283;299;289;354;383;319;295;307;279;284;283;241;250;215;223;225;224;196;211;196;200;232;195;191;154;165;179;6672
"221110 UNIAO";2;3;4;3;16;10;11;19;17;20;18;11;18;8;17;14;7;12;8;18;5;11;4;10;2;11;18;297
"221120 URUCUI";-;-;-;6;7;3;4;8;6;3;4;6;3;7;2;5;7;3;8;3;4;9;10;4;6;4;6;128
"221130 VALENCA DO PIAUI";4;2;5;1;1;1;7;1;7;14;7;12;6;9;8;6;10;1;4;1;1;2;2;3;5;4;5;129
"221135 VARZEA BRANCA";-;-;-;-;-;1;3;3;-;2;2;1;-;-;4;3;4;2;2;-;-;2;-;-;1;3;2;35
"221140 VARZEA GRANDE";-;-;-;-;-;1;1;1;-;1;-;-;3;4;1;5;1;2;-;1;1;1;2;-;2;2;-;29
"221150 VERA MENDES";-;-;-;1;2;4;4;-;3;-;3;3;-;1;-;2;-;-;-;2;-;-;2;1;2;-;-;30
"221160 VILA NOVA DO PIAUI";-;-;-;-;1;1;2;2;3;1;2;2;-;-;1;-;-;-;-;2;-;1;-;1;-;-;-;19
"221170 WALL FERRAZ";-;-;-;-;1;3;3;3;4;1;-;3;1;-;3;2;1;-;1;-;2;-;-;2;-;-;-;30
" MUNICIPIO IGNORADO - CE";237;246;33;66;2;-;-;-;82;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;668
"230010 ABAIARA";3;3;8;4;3;5;1;7;2;3;3;4;3;2;2;1;3;2;2;3;4;-;-;1;3;3;1;76
"230015 ACARAPE";9;4;9;4;7;3;2;4;5;3;3;2;3;2;4;3;4;5;4;-;7;3;8;4;1;4;2;109
"230020 ACARAU";46;59;29;40;30;30;18;24;26;27;21;14;7;14;13;13;11;17;8;16;23;9;18;16;6;9;2;546
"230030 ACOPIARA";29;43;54;36;23;25;24;28;18;22;23;19;18;18;10;8;6;10;8;3;8;11;8;4;11;6;6;479
"230040 AIUABA";4;5;3;8;16;11;7;10;2;5;7;5;2;3;8;5;4;2;2;5;1;2;3;2;3;4;3;132
"230050 ALCANTARAS";5;9;8;7;3;4;2;2;3;2;3;7;-;-;6;3;4;-;2;1;3;-;3;1;-;4;-;82
"230060 ALTANEIRA";4;4;7;7;5;4;2;1;1;3;1;2;1;4;1;3;4;3;2;1;1;1;-;-;1;1;2;66
"230070 ALTO SANTO";4;12;8;15;6;7;5;1;3;5;7;4;3;1;1;3;3;3;2;5;4;5;1;1;2;5;1;117
"230075 AMONTADA";9;16;21;12;24;15;16;16;18;9;15;12;9;13;12;6;12;8;14;10;5;8;9;6;6;17;6;324
"230080 ANTONINA DO NORTE";5;4;3;3;7;4;2;1;2;1;-;1;5;-;2;2;3;2;2;-;2;3;3;1;1;-;-;59
"230090 APUIARES";4;4;12;4;6;2;6;2;9;1;1;3;4;2;2;1;2;1;3;3;2;3;-;2;-;-;2;81
"230100 AQUIRAZ";10;9;6;10;17;19;14;29;15;13;11;13;21;16;15;10;12;5;12;6;28;17;17;10;16;9;14;374
"230110 ARACATI";53;37;46;29;22;13;22;25;34;17;18;15;16;21;8;9;16;10;10;14;8;12;9;2;9;6;11;492
"230120 ARACOIABA";1;2;4;8;12;4;5;9;5;3;4;5;11;7;5;6;5;4;4;5;7;4;5;3;3;3;4;138
"230125 ARARENDA";4;7;9;9;7;6;3;9;9;3;2;3;4;1;1;-;8;1;2;4;4;1;5;6;1;3;3;115
"230130 ARARIPE";8;17;15;19;12;9;17;17;7;7;9;7;6;7;3;7;9;1;6;1;6;4;7;4;4;4;3;216
"230140 ARATUBA";-;2;3;3;1;5;1;3;7;3;4;4;3;3;3;1;2;1;2;2;-;2;1;5;2;1;4;68
"230150 ARNEIROZ";4;6;9;4;6;4;3;9;4;1;2;2;1;2;2;1;2;2;1;-;-;1;2;3;3;1;-;75
"230160 ASSARE";4;5;5;18;6;6;14;11;7;2;4;7;8;8;1;2;6;5;2;3;2;6;4;1;3;4;2;146
"230170 AURORA";9;12;4;17;6;7;13;14;6;6;3;6;3;4;4;7;9;3;3;3;-;4;5;1;3;4;5;161
"230180 BAIXIO";1;5;1;2;3;5;5;2;4;3;-;-;-;1;1;2;-;2;1;4;1;2;-;1;-;-;-;46
"230185 BANABUIU";10;15;13;14;11;8;8;7;9;8;7;7;5;2;1;4;2;8;5;1;7;4;2;7;2;4;1;172
"230190 BARBALHA";14;17;12;15;22;21;20;17;18;11;13;19;19;19;19;16;23;11;22;14;10;18;15;19;8;15;14;441
"230195 BARREIRA";3;5;3;9;12;3;2;5;7;6;8;3;2;4;2;6;2;5;1;1;3;5;1;6;9;-;2;115
"230200 BARRO";8;14;6;10;8;3;6;7;14;8;11;10;4;5;5;7;5;3;5;2;4;3;2;5;3;1;4;163
"230205 BARROQUINHA";18;3;19;8;13;11;6;8;5;12;6;3;3;-;3;2;3;3;4;3;1;2;3;4;1;-;1;145
"230210 BATURITE";9;10;6;14;16;15;11;5;11;11;10;9;7;11;8;13;2;10;4;6;7;4;6;7;8;3;6;229
"230220 BEBERIBE";3;5;9;12;20;16;25;19;14;15;11;8;9;5;2;7;-;7;9;5;6;4;9;8;10;4;9;251
"230230 BELA CRUZ";16;19;15;23;26;23;19;13;16;15;10;7;3;7;5;10;5;8;8;5;5;6;4;7;9;-;4;288
"230240 BOA VIAGEM";4;13;19;39;29;25;24;33;31;22;17;15;18;14;9;13;12;7;10;14;5;7;7;11;7;8;6;419
"230250 BREJO SANTO";8;17;17;17;13;13;14;21;14;11;9;11;10;5;11;9;9;7;6;17;14;7;13;12;8;7;7;307
"230260 CAMOCIM";10;25;38;47;45;40;35;42;22;33;22;19;22;23;9;8;13;19;12;15;10;10;13;16;12;8;10;578
"230270 CAMPOS SALES";18;20;28;26;16;24;12;12;17;11;11;3;9;6;10;8;7;4;7;4;6;3;3;8;7;5;3;288
"230280 CANINDE";8;15;25;44;42;21;20;40;26;13;24;18;15;19;12;14;9;10;8;17;14;13;20;13;13;12;7;492
"230290 CAPISTRANO";4;3;8;7;11;8;4;5;1;6;4;5;4;4;4;1;3;3;3;1;3;1;6;5;3;4;4;115
"230300 CARIDADE";-;2;7;5;8;6;9;6;8;4;5;12;1;3;4;1;3;9;2;1;6;-;2;3;4;2;3;116
"230310 CARIRE";10;14;11;9;5;11;10;1;7;7;11;5;4;3;4;4;4;4;3;5;-;3;3;1;2;3;1;145
"230320 CARIRIACU";12;11;11;11;18;12;11;8;14;10;9;6;9;8;9;3;7;10;6;7;3;4;3;7;2;1;3;215
"230330 CARIUS";7;10;12;14;9;9;11;11;5;3;4;2;4;4;3;3;7;4;2;1;3;2;1;2;3;3;-;139
"230340 CARNAUBAL";10;5;19;25;17;10;7;5;8;7;6;6;12;10;4;2;2;6;4;1;3;6;4;3;2;-;3;187
"230350 CASCAVEL";12;13;13;8;16;14;22;18;14;14;17;10;14;11;8;5;14;11;7;9;8;15;11;13;3;6;13;319
"230360 CATARINA";4;6;9;5;8;5;3;3;3;8;1;5;1;1;3;4;1;3;2;2;2;5;-;3;1;1;2;91
"230365 CATUNDA";12;4;4;7;7;2;5;5;6;4;3;3;1;3;1;2;-;2;1;3;3;-;4;1;1;-;2;86
"230370 CAUCAIA";99;100;72;72;67;52;90;106;81;58;78;72;63;65;54;58;56;70;51;61;53;75;68;69;66;49;55;1860
"230380 CEDRO";19;2;3;7;17;8;9;6;13;11;8;6;6;4;3;7;4;6;2;5;3;4;7;4;3;4;7;178
"230390 CHAVAL";17;11;23;5;9;9;7;3;4;5;1;1;8;7;8;1;-;2;2;2;1;1;5;1;1;3;2;139
"230393 CHORO";1;6;8;5;7;5;3;3;3;1;1;3;1;9;5;4;3;5;3;4;3;1;6;2;2;3;3;100
"230395 CHOROZINHO";8;12;6;7;7;3;7;11;5;6;5;4;5;3;4;-;5;3;-;2;5;2;2;3;3;2;6;126
"230400 COREAU";15;16;22;28;11;14;7;17;5;7;12;4;2;8;4;2;3;5;3;3;6;6;7;3;1;3;2;216
"230410 CRATEUS";31;31;37;24;41;40;28;45;33;32;31;22;20;19;14;15;18;15;13;22;21;12;17;21;13;11;10;636
"230420 CRATO";11;35;43;30;41;46;40;42;36;34;40;50;29;37;46;43;28;30;37;24;32;21;23;40;21;23;30;912
"230423 CROATA";37;40;32;25;8;8;6;6;5;4;1;5;8;7;2;2;3;3;3;6;-;3;5;5;5;2;3;234
"230425 CRUZ";11;12;6;3;11;7;12;8;10;5;4;4;5;4;4;6;3;8;4;7;3;5;7;2;4;6;8;169
"230426 DEPUTADO IRAPUAN PINHEIRO";4;7;3;7;5;2;2;5;1;2;2;3;4;3;4;3;1;1;-;1;1;-;-;1;-;3;-;65
"230427 ERERE";2;1;1;1;3;3;2;1;1;1;1;1;-;-;2;2;2;-;-;1;-;2;-;4;1;-;-;32
"230428 EUSEBIO";5;6;4;9;18;13;18;21;10;9;8;9;8;12;9;7;8;12;4;6;5;11;7;19;11;14;8;271
"230430 FARIAS BRITO";3;14;15;9;15;9;4;9;7;5;6;6;5;2;5;4;3;5;2;5;3;3;2;3;7;4;9;164
"230435 FORQUILHA";21;14;12;10;16;19;12;18;14;5;9;9;3;6;8;6;7;8;5;1;4;5;11;4;-;1;-;228
"230440 FORTALEZA";1615;1259;1270;1027;910;705;973;963;853;802;701;590;574;589;438;480;420;434;435;458;427;497;410;408;389;348;348;18323
"230445 FORTIM";9;3;7;5;6;1;6;4;3;6;3;4;1;3;2;1;2;2;2;4;2;-;8;2;3;4;4;97
"230450 FRECHEIRINHA";10;7;14;16;14;16;10;8;6;3;6;5;3;2;3;5;4;5;3;2;1;4;2;6;6;1;2;164
"230460 GENERAL SAMPAIO";-;1;-;2;4;1;5;1;2;2;3;2;1;-;1;1;1;2;2;1;1;2;3;1;1;-;3;43
"230465 GRACA";9;4;8;9;15;11;16;10;6;5;6;5;8;8;4;2;1;5;1;-;3;1;-;1;4;4;1;147
"230470 GRANJA";6;11;14;15;29;50;35;34;24;28;14;21;29;19;14;12;10;20;17;15;20;18;8;8;5;11;8;495
"230480 GRANJEIRO";1;1;3;2;8;4;1;-;2;2;-;-;4;-;2;1;-;-;-;1;2;-;-;-;2;-;-;36
"230490 GROAIRAS";5;1;6;2;6;5;8;4;8;3;2;2;1;2;1;2;6;2;2;3;-;2;1;1;3;-;-;78
"230495 GUAIUBA";7;8;4;12;10;9;5;10;5;4;5;6;5;6;6;3;3;3;3;3;3;2;5;4;1;3;3;138
"230500 GUARACIABA DO NORTE";26;28;20;28;28;26;24;27;19;17;11;14;7;9;14;6;15;7;8;4;10;13;11;13;6;9;5;405
"230510 GUARAMIRANGA";1;1;2;4;2;-;1;6;3;1;1;-;1;2;-;3;1;-;-;1;1;-;-;1;-;1;1;34
"230520 HIDROLANDIA";1;9;16;15;3;12;8;9;11;2;6;1;8;2;3;2;4;6;2;2;3;3;1;1;3;2;4;139
"230523 HORIZONTE";13;29;16;21;21;9;11;17;11;9;12;8;14;15;14;7;10;8;17;10;10;6;10;5;11;9;14;337
"230526 IBARETAMA";2;5;3;6;9;2;4;4;3;3;2;5;5;5;4;2;1;3;2;7;9;9;4;2;1;7;2;111
"230530 IBIAPINA";17;23;22;7;14;14;16;8;8;7;6;8;10;9;4;7;5;7;8;5;6;9;3;3;1;1;2;230
"230533 IBICUITINGA";2;5;9;4;7;5;3;9;1;3;2;2;5;2;-;2;-;1;4;-;1;1;1;-;-;3;1;73
"230535 ICAPUI";8;4;2;4;3;2;5;2;2;4;2;5;4;4;4;1;4;5;2;4;2;3;-;4;1;-;4;85
"230540 ICO";8;10;32;27;48;36;49;39;25;28;22;19;11;25;13;16;12;9;15;21;10;7;7;6;5;4;9;513
"230550 IGUATU";44;44;43;26;37;35;31;42;38;30;27;24;26;19;12;12;17;26;16;10;18;24;17;12;14;14;13;671
"230560 INDEPENDENCIA";12;10;10;22;12;15;13;16;13;11;9;7;5;8;3;3;5;4;5;4;3;6;7;6;5;10;7;231
"230565 IPAPORANGA";7;4;8;10;12;4;2;11;10;8;7;5;3;4;5;2;2;4;2;2;2;2;1;-;1;5;3;126
"230570 IPAUMIRIM";7;2;2;9;9;6;9;6;6;6;3;6;6;4;2;3;3;2;1;5;5;3;2;1;1;1;3;113
"230580 IPU";6;17;24;26;27;31;26;19;13;20;10;12;9;6;6;14;8;6;5;6;4;6;12;6;5;6;7;337
"230590 IPUEIRAS";46;41;71;66;29;23;12;15;19;12;20;19;15;9;13;15;9;7;9;8;10;4;6;5;5;8;4;500
"230600 IRACEMA";4;12;5;2;5;5;4;12;2;3;4;5;1;5;3;1;-;2;1;1;2;5;1;1;2;-;1;89
"230610 IRAUCUBA";6;12;9;10;12;15;13;15;4;12;4;6;4;8;9;6;6;5;4;4;2;3;6;4;6;4;2;191
"230620 ITAICABA";-;1;-;3;-;-;-;3;-;2;-;3;1;1;1;-;-;6;-;1;2;1;1;2;1;1;1;31
"230625 ITAITINGA";7;13;7;8;16;1;6;6;11;7;15;13;14;18;9;6;5;2;5;4;7;4;9;5;3;5;7;213
"230630 ITAPAGE";24;35;25;27;25;26;21;24;23;10;11;17;11;12;16;12;7;8;5;10;11;13;5;4;3;8;10;403
"230640 ITAPIPOCA";40;75;54;41;77;54;61;72;58;39;35;34;35;21;24;20;28;23;22;29;20;26;29;21;31;12;18;999
"230650 ITAPIUNA";7;13;9;11;5;5;5;5;5;8;5;7;4;4;5;2;2;5;7;4;4;6;4;5;1;-;4;142
"230655 ITAREMA";35;10;17;35;10;16;20;17;21;17;14;12;15;9;4;4;7;8;7;6;5;16;6;10;10;9;7;347
"230660 ITATIRA";3;2;5;11;10;15;12;10;7;6;9;4;6;6;5;9;4;2;7;2;5;7;9;5;3;2;4;170
"230670 JAGUARETAMA";3;17;13;14;11;7;6;2;6;3;2;3;4;1;2;5;3;3;3;4;3;2;1;4;1;2;-;125
"230680 JAGUARIBARA";1;1;2;4;2;5;6;2;4;-;2;1;6;4;2;2;1;2;-;2;4;2;2;2;4;3;1;67
"230690 JAGUARIBE";8;14;10;17;13;9;20;20;10;7;11;9;10;14;7;4;5;10;4;4;7;7;5;7;10;2;5;249
"230700 JAGUARUANA";10;14;8;10;9;12;10;7;10;12;11;12;7;7;3;3;8;2;2;3;4;5;2;4;3;3;3;184
"230710 JARDIM";5;5;8;11;16;8;9;13;12;3;10;10;8;4;10;9;7;6;11;8;7;4;5;2;4;6;7;208
"230720 JATI";1;3;4;1;3;3;2;5;3;-;3;1;3;3;7;3;-;-;3;3;2;2;-;2;-;2;-;59
"230725 JIJOCA DE JERICOACOARA";4;23;15;10;4;5;7;2;8;6;5;7;5;1;-;7;-;5;2;6;7;1;5;6;5;8;2;156
"230730 JUAZEIRO DO NORTE";152;93;77;112;93;107;116;86;63;64;71;78;53;56;56;86;59;90;50;58;66;48;64;52;54;41;44;1989
"230740 JUCAS";19;11;21;20;6;10;9;12;7;5;11;3;3;7;2;8;6;6;1;8;-;8;6;6;2;4;2;203
"230750 LAVRAS DA MANGABEIRA";17;8;6;20;16;14;20;18;8;5;1;5;3;8;4;4;2;4;6;3;4;6;2;6;5;3;2;200
"230760 LIMOEIRO DO NORTE";12;9;25;33;17;12;17;22;11;7;13;20;10;7;7;15;9;11;11;9;2;9;10;12;6;5;20;341
"230763 MADALENA";1;5;3;4;8;4;7;11;3;6;7;4;3;-;3;5;2;4;4;1;4;3;3;1;3;1;3;103
"230765 MARACANAU";51;46;26;60;81;37;55;84;53;44;52;33;53;45;40;36;30;42;41;50;41;51;41;38;39;35;30;1234
"230770 MARANGUAPE";64;61;50;30;27;18;27;21;26;12;25;8;18;25;10;15;17;15;20;17;22;26;18;18;16;7;9;622
"230780 MARCO";28;23;19;21;20;17;19;15;18;17;15;13;12;4;5;7;6;2;11;11;10;7;3;7;13;6;4;333
"230790 MARTINOPOLE";10;14;5;8;11;6;8;4;1;6;6;2;4;1;1;6;5;5;3;3;2;-;1;1;1;2;1;117
"230800 MASSAPE";25;21;10;37;35;25;27;20;18;18;19;14;7;10;12;8;8;9;3;6;5;10;10;8;12;7;6;390
"230810 MAURITI";40;26;30;21;12;21;21;24;21;15;8;7;15;9;13;9;14;12;13;20;7;5;12;9;14;11;10;419
"230820 MERUOCA";14;15;7;13;13;8;5;3;1;3;5;7;2;-;5;5;6;6;1;3;6;1;3;5;2;1;1;141
"230830 MILAGRES";4;10;10;15;5;12;11;12;7;4;4;7;6;2;9;7;7;5;5;7;3;5;-;4;8;4;3;176
"230835 MILHA";8;9;7;5;9;6;9;5;4;5;1;3;3;1;4;1;3;3;1;7;1;3;5;1;3;2;-;109
"230837 MIRAIMA";5;9;5;5;8;5;1;4;2;11;4;2;2;6;-;1;4;7;3;2;3;4;3;3;1;2;-;102
"230840 MISSAO VELHA";16;12;8;7;13;13;11;10;10;9;13;12;10;15;13;10;14;11;6;7;9;6;12;14;7;5;2;275
"230850 MOMBACA";48;28;25;25;36;23;21;20;13;14;16;8;18;11;9;7;4;7;4;10;7;5;10;1;6;7;6;389
"230860 MONSENHOR TABOSA";1;2;11;15;6;11;5;11;11;3;8;6;5;4;8;3;2;3;-;6;8;5;7;1;5;4;2;153
"230870 MORADA NOVA";25;30;39;45;28;27;22;25;19;19;21;24;6;13;10;9;1;9;6;3;4;7;5;7;8;6;6;424
"230880 MORAUJO";4;6;7;5;5;1;8;5;2;4;-;4;3;4;2;1;3;3;2;1;1;2;4;1;1;1;2;82
"230890 MORRINHOS";14;18;9;13;9;22;14;4;11;5;9;9;10;4;7;10;8;5;3;2;6;2;7;7;7;1;3;219
"230900 MUCAMBO";6;11;11;10;8;10;5;12;4;8;1;5;5;2;4;-;-;2;3;3;2;1;3;2;2;3;1;124
"230910 MULUNGU";2;2;2;2;1;6;5;7;2;1;3;1;4;2;1;1;-;4;3;-;2;2;1;4;1;1;1;61
"230920 NOVA OLINDA";1;8;6;14;4;4;9;7;4;2;5;4;4;3;2;5;2;2;5;3;6;6;6;6;5;4;2;129
"230930 NOVA RUSSAS";15;7;19;21;11;27;16;16;9;9;10;6;6;4;3;5;5;5;7;7;3;7;6;2;5;2;2;235
"230940 NOVO ORIENTE";34;27;29;22;15;13;16;30;11;9;8;8;6;9;3;6;7;9;8;3;6;9;5;3;1;3;3;303
"230945 OCARA";2;6;5;5;12;12;11;12;5;8;5;3;3;3;1;5;4;4;4;6;2;6;3;1;3;1;9;141
"230950 OROS";16;30;8;5;18;6;8;7;12;2;4;4;2;7;2;5;4;4;2;6;1;3;1;4;6;-;2;169
"230960 PACAJUS";7;23;14;18;16;20;20;32;27;12;22;15;17;10;17;6;15;8;20;11;8;10;14;19;7;7;6;401
"230970 PACATUBA";5;4;5;10;13;14;9;24;16;8;11;8;19;8;11;8;15;11;7;13;14;12;9;13;9;17;15;308
"230980 PACOTI";1;6;6;3;3;-;4;1;1;3;1;5;3;1;2;-;1;-;-;1;1;3;-;3;3;4;1;57
"230990 PACUJA";3;6;4;6;4;1;1;2;5;3;1;1;1;1;2;-;2;1;-;1;1;-;-;2;-;-;-;48
"231000 PALHANO";-;2;1;3;2;5;2;-;4;4;3;1;5;1;-;-;2;-;3;-;-;2;3;3;3;-;2;51
"231010 PALMACIA";3;3;-;1;1;2;5;1;4;5;-;2;2;1;6;2;2;2;1;2;1;1;-;-;-;1;1;49
"231020 PARACURU";5;2;9;5;10;6;9;8;9;11;6;8;5;8;7;7;2;7;8;6;11;6;5;9;8;6;9;192
"231025 PARAIPABA";9;13;1;15;7;13;6;10;7;1;7;5;3;6;3;7;6;4;4;6;3;8;6;1;2;3;4;160
"231030 PARAMBU";41;24;30;35;23;18;15;14;12;10;9;9;7;8;4;2;2;2;2;6;2;5;3;12;5;1;6;307
"231040 PARAMOTI";4;3;3;5;13;4;6;21;6;2;3;1;1;3;1;5;2;2;5;1;3;-;1;1;2;-;1;99
"231050 PEDRA BRANCA";14;42;40;38;28;11;22;15;17;17;15;13;14;13;10;13;11;6;10;9;6;9;7;5;3;9;7;404
"231060 PENAFORTE";1;4;2;4;3;-;2;3;3;2;4;-;4;3;2;1;2;2;2;1;3;6;2;5;1;1;1;64
"231070 PENTECOSTE";5;4;2;7;15;5;21;14;10;11;10;8;12;8;2;4;8;8;6;8;5;7;9;7;4;9;6;215
"231080 PEREIRO";10;4;8;4;3;5;7;6;6;8;9;4;2;2;3;4;2;3;1;5;6;3;2;2;2;3;4;118
